id,floor,building,area_m2,hsp_m,perim_m,nd_elev_m,nx,ny,inside,dist_m
G25,+0,Aile Ouest,128.84,10.55,73.93,97.61,-18.46,-39.42,True,0.0
G19,+0,Aile Ouest,63.48,3.97,33.32,97.25,-19.31,-19.72,True,0.0
G17,+0,Aile Ouest,56.11,3.6,31.46,97.56,-21.8,-9.91,True,0.0
G23,+0,Aile Ouest,48.37,3.57,28.23,97.4,-16.39,-30.0,True,0.0
G14,+0,Aile Ouest,36.57,3.33,25.12,97.6,-24.32,-1.75,True,0.0
G7,+0,Aile Ouest,19.42,3.1,17.78,97.6,-28.61,10.31,True,0.0
G9,+0,Aile Ouest,18.91,2.6,18.91,97.6,-33.52,8.41,True,0.0
G12,+0,Aile Ouest,12.7,3.32,14.26,97.6,-27.14,2.52,True,0.0
G11,+0,Aile Ouest,12.33,3.38,13.79,97.6,-28.2,6.08,True,0.0
G18,+0,Aile Sud-Est,69.8,3.31,33.81,96.5,24.35,-13.55,True,0.0
G20,+0,Aile Sud-Est,69.15,3.31,33.69,96.5,27.6,-23.06,True,0.0
G21,+0,Aile Sud-Est,28.6,3.31,22.38,96.48,22.12,-26.85,True,0.0
G16,+0,Aile Sud-Est,28.16,3.23,22.05,96.46,22.63,-6.85,True,0.0
G15,+0,Aile Sud-Est,27.12,2.93,21.94,96.38,20.84,-2.51,True,0.0
G22,+0,Aile Sud-Est,25.59,3.31,20.26,96.48,17.64,-29.41,True,0.0
G24,+0,Aile Sud-Est,18.06,2.8,17.02,96.89,-0.17,-34.79,True,0.0
G2,+0,Atelier,244.98,4.4,71.22,96.33,9.04,17.27,True,0.0
G1,+0,Atelier,68.58,3.8,33.15,,-6.32,20.24,True,0.0
G5,+0,Atelier,27.63,3.06,21.7,96.33,-4.68,12.71,True,0.0
G4,+0,Atelier,21.09,3.06,18.43,96.33,0.63,13.24,True,0.0
G8,+0,Chapelle,120.73,11.7,48.78,96.3,18.24,8.67,True,0.0
G13,+0,Chapelle,71.69,3.97,44.06,96.3,19.02,1.47,True,0.0
G3,+0,Maison principale,66.58,3.63,66.58,97.58,-18.79,16.82,True,0.0
G6,+0,Maison principale,32.47,3.63,32.46,97.58,-13.8,10.8,True,0.0
G10,+0,Maison principale,25.39,3.36,21.58,97.58,-20.84,8.27,True,0.0
F18,+1,Aile Ouest,158.26,5.4,70.03,101.26,-16.12,-16.66,True,0.0
F14,+1,Aile Ouest,53.54,2.42,34.65,,-32.76,6.62,True,0.0
F13,+1,Aile Ouest,42.99,2.7,49.03,101.26,-22.15,7.46,True,0.0
F17,+1,Aile Ouest,27.05,2.65,21.34,101.26,-18.94,-5.18,True,0.0
F15,+1,Aile Ouest,20.0,2.65,17.94,101.26,-21.58,3.2,True,0.0
F16,+1,Aile Ouest,13.19,2.65,14.66,101.26,-20.2,-0.79,True,0.0
F19,+1,Aile Sud-Est,348.37,5.61,114.61,,18.02,-28.95,True,0.0
F20,+1,Aile Sud-Est,20.55,3.77,18.32,,-2.7,-34.07,True,0.0
F4,+1,Atelier,23.89,5.13,22.24,,-0.38,20.14,True,0.0
F3,+1,Atelier,19.38,2.52,19.29,100.42,-5.01,21.26,True,0.0
F7,+1,Atelier,18.72,,17.68,100.42,-4.31,17.42,True,0.0
F5,+1,Atelier,18.23,2.34,17.13,,3.59,18.55,True,0.0
F2,+1,Atelier,13.44,7.91,14.72,,3.34,22.47,True,0.0
F1,+1,Maison principale,161.36,5.74,50.86,,-25.36,26.64,False,10.62
F12,+1,Maison principale,26.51,3.45,20.66,101.56,-17.29,8.44,True,0.0
F8,+1,Maison principale,22.67,3.45,19.06,101.56,-15.23,16.34,True,0.0
F11,+1,Maison principale,22.35,3.45,19.25,101.56,-12.85,9.2,True,0.0
F10,+1,Maison principale,21.68,3.45,20.06,101.56,-9.17,10.55,True,0.0
F9,+1,Maison principale,17.55,3.45,18.0,101.56,-19.66,15.17,True,0.0
F6,+1,Maison principale,16.76,3.45,16.48,101.56,-10.8,17.51,True,0.0
