building,storey,z_base,z_top,storey_height_m,reliable,note
Aile Ouest,-1,-1.58,0.31,1.89,True,storey-to-storey
Aile Ouest,0,0.31,4.61,4.3,True,storey-to-storey
Aile Ouest,1,4.61,34.61,30.0,False,open-to-sky cap (ignore height)
Aile Sud-Est,0,-0.86,3.21,4.07,True,storey-to-storey
Aile Sud-Est,1,3.21,33.21,30.0,False,open-to-sky cap (ignore height)
Atelier,0,-0.54,3,3.54,True,storey-to-storey
Atelier,1,3,33,30,False,open-to-sky cap (ignore height)
Chapelle,0,-0.78,3.49,4.27,True,storey-to-storey
Chapelle,1,3.49,33.49,30.0,False,open-to-sky cap (ignore height)
Maison principale,-1,-2.71,0.95,3.66,True,storey-to-storey
Maison principale,0,0.95,4.88,3.93,True,storey-to-storey
Maison principale,1,4.88,8.55,3.67,True,storey-to-storey
Maison principale,2,8.55,38.55,30.0,False,open-to-sky cap (ignore height)
