text,x,y,layer
salle commune / 126 m²,11710950.3,12098000.5,Tekst-ruimtelabel
atelier/vitrine / 32 m²,11711506.5,12097338.3,Tekst-ruimtelabel
foyer / 61.5 m²,11710704.5,12098573.9,Tekst-ruimtelabel
bar/magasin/accueil / 36 m²,11711293.2,12099275.3,Tekst-ruimtelabel
régie / 18 m²,11710903.2,12099312.6,Tekst-ruimtelabel
studio / 57 m²,11710468.2,12099293.5,Tekst-ruimtelabel
cabine A / 15 m²,11709813.1,12099431.3,Tekst-ruimtelabel
cabine B / 7 m²,11709892.8,12099117.4,Tekst-ruimtelabel
stockage / 27 m²,11710509.1,12097253.5,Tekst-ruimtelabel
vestiaire / 6 m²,11709916.4,12098851.6,Tekst-ruimtelabel
L2 / 45 m²,11706730.3,12097054.3,Tekst-ruimtelabel
L3 / 49 m²,11707044.2,12096121.9,Tekst-ruimtelabel
L4 / 77 m²,11707410.8,12094911.4,Tekst-ruimtelabel
L5 / 60 m²,11707111.8,12093212.3,Tekst-ruimtelabel
L6 / 58 m²,11706079.2,12092858.5,Tekst-ruimtelabel
L7 / 66 m²,11711707.8,12095788.7,Tekst-ruimtelabel
L8 / 67.5 m²,11711991.9,12094825.1,Tekst-ruimtelabel
L9 / 89 m²,11711024.0,12094335.2,Tekst-ruimtelabel
atelier construction / 91 m²,11709528.8,12093897.9,Tekst-ruimtelabel
local vélo / 48 m²,11707937.0,12093415.2,Tekst-ruimtelabel
stockage / 5 m²,11709626.3,12099124.2,Tekst-ruimtelabel
/ 81 m²,11707399.9,12098750.8,Tekst-ruimtelabel
/ 32 m²,11707913.5,12098245.9,Tekst-ruimtelabel
/ 25 m²,11707148.8,12098032.9,Tekst-ruimtelabel
/ 66 m²,11708582.9,12099085.9,Tekst-ruimtelabel
/ 31 m²,11709261.2,12099168.3,Tekst-ruimtelabel
/ 47 m²,11708952.7,12098497.8,Tekst-ruimtelabel
L1 / 61.8 m²,11705408.3,12097858.3,Tekst-ruimtelabel
L2/L10 / 53 m²,11706730.3,12097054.3,Tekst-ruimtelabel
L3 / 51 m²,11707044.2,12096121.9,Tekst-ruimtelabel
L4/L11 / 79 m²,11707410.8,12094911.4,Tekst-ruimtelabel
L5 / 51 m²,11707111.8,12093212.3,Tekst-ruimtelabel
L6 / 52 m²,11706079.2,12092858.5,Tekst-ruimtelabel
L7 / 54 m²,11711698.8,12095772.5,Tekst-ruimtelabel
L8 / 56 m²,11711977.5,12094800.7,Tekst-ruimtelabel
L9/L12 / 88 m²,11711035.1,12094355.4,Tekst-ruimtelabel
local techniques / 48 m²,11707937.0,12093415.2,Tekst-ruimtelabel
L1 / 71 m²,11705670.0,12097938.8,Tekst-ruimtelabel
L11 / 106.5 m²,11708776.2,12099161.4,Tekst-ruimtelabel
atelier construction / 71 m²,11709528.8,12093897.9,Tekst-ruimtelabel
